Users, Average Linear Acceleration,Average Angular Velocity,Mid Stroke Area Covered,Angle Between Start And EndVectors,Direct End To End Distance,EndPoint x,Start Point x,Scaled Duration,Start Point y,End Point y
User 2,0.5194509,0.04350167,4.99E-04,0.003186043,0.18229346,0.59128517,0.72786164,0.021,0.685724,0.8064625
User 2,0.46420592,0.046158712,7.20E-04,0.003604688,0.20616649,0.571821,0.727902,0.0232,0.68568116,0.8203784
User 2,0.54025084,0.07476818,7.02E-04,0.003581456,0.20484248,0.5759552,0.7304458,0.0199,0.6829707,0.8174813
User 2,0.6537013,0.08368631,4.49E-04,0.003090018,0.17681383,0.60414255,0.7350459,0.0148,0.6780173,0.79687625
User 2,0.6814464,0.088744774,6.40E-04,0.003482557,0.19920497,0.59718084,0.74432105,0.0137,0.66782194,0.8021066
User 2,0.57934827,0.07391544,9.42E-04,0.003940473,0.22529328,0.55445486,0.7266824,0.0296,0.6869735,0.83221376
User 2,0.57814765,0.064008206,6.81E-04,0.003549835,0.20304014,0.7518073,0.60312104,0.0169,0.7976497,0.65938294
User 2,0.5342395,0.065066166,8.11E-05,0.001736692,0.09946406,0.72128737,0.6489124,0.0232,0.7608631,0.6926359
User 2,0.4845699,0.05007315,0.001449258,0.00454693,0.25978377,0.55168927,0.74791014,0.0411,0.6638,0.8340497
User 2,0.4282125,0.051913787,3.96E-05,0.00136474,0.07817389,0.6551467,0.59412944,0.041,0.80436945,0.7555017
User 2,0.52990335,0.035162948,5.58E-04,0.003302887,0.18895924,0.75804734,0.62182623,0.0253,0.78315526,0.65219957
User 2,0.49067476,0.025652934,3.76E-04,0.002890537,0.16542636,0.75310385,0.63433784,0.0336,0.773056,0.65790164
User 2,0.52236503,0.05322316,2.43E-04,0.002518161,0.14415488,0.79874223,0.7039345,0.0253,0.7102649,0.60167336
User 2,0.48303095,0.0338258,4.83E-04,0.003157336,0.18065543,0.79992515,0.6789037,0.0222,0.7342273,0.6000998
User 2,0.4858789,0.034466807,2.73E-04,0.002601388,0.14891063,0.7918889,0.6924269,0.0304,0.721488,0.6106652
User 2,0.5010757,0.052610446,6.62E-04,0.003496369,0.1999924,0.66162914,0.79760647,0.0357,0.60317814,0.74983126
User 2,0.45554054,0.07125774,0.001650697,0.004742482,0.27088904,0.6226032,0.8097871,0.0315,0.58672386,0.7825377
User 2,0.44913492,0.031212589,6.81E-04,0.003519922,0.20133504,0.63203615,0.7744559,0.0526,0.6326279,0.77493894
User 2,0.45186913,0.022658119,6.91E-04,0.003535708,0.20223491,0.60333,0.75144625,0.0886,0.65979433,0.7974916
User 2,0.4607614,0.029086145,6.30E-05,0.001591912,0.0911782,0.698272,0.76056993,0.0485,0.649256,0.71583253
User 2,0.47879633,0.04612364,0.001101961,0.004134693,0.23634687,0.68140906,0.8341482,0.0674,0.5515404,0.7319028
User 2,0.509166,0.07914444,0.002547837,0.005482959,0.31286016,0.720368,0.89943856,0.0484,0.43704724,0.693592
User 2,0.5006289,0.03588559,3.10E-04,0.002712543,0.1552609,0.72837245,0.8256542,0.0379,0.5641765,0.68518144
User 2,0.524854,0.057963442,0.001174799,0.004224972,0.24148242,0.82562757,0.66630346,0.0452,0.7456807,0.56421554
User 2,0.4834033,0.04562011,7.73E-04,0.00368131,0.21053275,0.87543696,0.75484353,0.0275,0.6559049,0.48333234
User 2,0.49738687,0.050900377,7.69E-04,0.003674026,0.21011773,0.86601096,0.7424113,0.0327,0.66994435,0.50002503
User 2,0.5062441,0.0424266,6.11E-04,0.003419463,0.1956076,0.8850276,0.7774697,0.0273,0.6289204,0.46553853
User 2,0.55809546,0.1420721,0.001182216,0.004240469,0.24236386,0.85215974,0.7012418,0.0347,0.7129235,0.52328175
User 2,0.51733327,0.0599079,7.38E-04,0.003616563,0.20684329,0.8795607,0.7628596,0.0421,0.64656425,0.47578666
User 2,0.48487246,0.032713942,1.53E-04,0.002142287,0.12266694,0.78170186,0.6994632,0.0369,0.71466863,0.6236523
User 2,0.6256569,0.08537844,5.22E-04,0.003221616,0.18432304,0.813141,0.69249606,0.0452,0.72142166,0.5820668
User 2,0.5439158,0.07964087,2.19E-04,0.002412569,0.13811998,0.7959482,0.70494264,0.0579,0.7092643,0.60536474
User 2,0.49627525,0.055077255,8.51E-05,0.001770641,0.10140673,0.684014,0.6066192,0.0222,0.79499257,0.7294688
User 2,0.5565479,0.09704088,0.001031392,0.004047964,0.23141177,0.6087761,0.7748313,0.0346,0.63216805,0.7933421
User 2,0.51505214,0.04224013,5.76E-04,0.003333435,0.19070162,0.76016647,0.62300426,0.0316,0.78221846,0.64972836
User 2,0.49548417,0.044197675,8.63E-04,0.003826337,0.21879417,0.8170384,0.67208636,0.0221,0.7404728,0.5765832
User 2,0.46619064,0.052137293,3.22E-04,0.002749624,0.15737896,0.8320979,0.7347769,0.0244,0.67830884,0.5546288
User 2,0.55012894,0.041322492,3.53E-04,0.002840524,0.16257046,0.7669214,0.65280396,0.0231,0.7575269,0.64174104
User 2,0.46839595,0.013656595,1.07E-04,0.001900342,0.108827785,0.7702384,0.6963745,0.0357,0.7176786,0.6377561
User 2,0.4766361,0.019785667,2.22E-04,0.002427659,0.13898247,0.7649836,0.6683001,0.0305,0.7438918,0.64404976
User 2,0.464648,0.029813644,2.59E-04,0.002558575,0.1464643,0.80267507,0.70694643,0.0305,0.70726705,0.5964166
User 2,0.47670645,0.08751381,2.49E-05,0.00117556,0.06734188,0.6468459,0.594052,0.0337,0.8044266,0.76262075
User 2,0.43799952,0.11440761,6.36E-05,0.001601634,0.09173465,0.66923803,0.5983306,0.0284,0.8012493,0.7430481
User 2,0.4776682,0.03382887,3.75E-05,0.001356691,0.07771309,0.64026254,0.5786785,0.0252,0.8155558,0.7681562
User 2,0.47220623,0.042868275,8.86E-05,0.001788634,0.10243632,0.6641606,0.5841962,0.0357,0.8116125,0.7475899
User 2,0.49939787,0.13682401,2.54E-04,0.002554528,0.14623308,0.59675056,0.47334278,0.0263,0.8808783,0.8024268
User 2,0.49105585,0.069614284,1.99E-04,0.002347764,0.13441555,0.63037974,0.5205759,0.0253,0.8538154,0.7762869
User 2,0.46904728,0.052753106,5.37E-08,8.06E-05,0.004615588,0.6476578,0.64413416,0.0706,0.76491255,0.7619313
User 2,0.43731162,0.06534462,4.77E-05,0.001469054,0.084145725,0.615503,0.54706454,0.0199,0.83709043,0.7881345
User 2,0.42083588,0.09254114,8.65E-04,0.003872384,0.22141646,0.5399456,0.71193075,0.0116,0.7022497,0.8416999
User 2,0.44821337,0.026199345,4.32E-05,0.001402867,0.08035672,0.6274902,0.5629471,0.0484,0.8264929,0.7786245
User 2,0.41147068,0.065957844,7.42E-05,0.001682378,0.096355826,0.6517017,0.57567763,0.0337,0.8176767,0.7584754
User 2,0.45567718,0.048580978,7.07E-05,0.001654736,0.0947739,0.66366124,0.5898663,0.0368,0.8075009,0.7480333
User 2,0.448983,0.07414613,9.49E-06,8.52E-04,0.04880855,0.62837034,0.5896643,0.0198,0.8076485,0.77791435
User 2,0.50409144,0.09784581,8.92E-05,0.001791098,0.10257733,0.6385489,0.5563518,0.0327,0.83094686,0.76958126
User 2,0.47054756,0.057708632,1.25E-04,0.002005193,0.11482591,0.6534791,0.5623976,0.0283,0.826867,0.75694454
User 2,0.5494618,0.07162037,1.08E-04,0.001906968,0.10920688,0.64872086,0.5618671,0.0389,0.8272275,0.76102644
User 2,0.54561526,0.042640068,1.20E-04,0.00197987,0.113377355,0.6687296,0.58027035,0.0273,0.8144239,0.7435057
